County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Albany,Veggie Mobile-Koinonia Primary Care,553 Clinton Ave. & N. Lake Ave. Albany,553 Clinton Avenue,Albany,NY,12206,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.66508,-73.76804,"(42.66508, -73.76804)"
Columbia,Germantown Farmers Market,50 Palatine Park Road Germantown,50 Palatine Park Road,Germantown,NY,12526,Lauren Williams,5185675691,http://www.facebook.com/germantownfarmersmarketny,Saturday 10am-1pm,May 23-September 26,P/M,Y,N,N,Y,42.135,-73.88551,"(42.135, -73.88551)"
Washington,Salem Rt. 22 Farmers' Market,Village Park Gazebo Rt. 22 Main St,Route 22 and Railroad St.,Salem,NY,12865,Cyd Groff,5186421653,http://www.facebook.com/pages/Route-22-Farmers-Market-Salem-Granville-Whitehall/104950399561700,Saturday  10am-1pm,June 13-October 17,M,Y,N,N,Y,43.17322,-73.32837,"(43.17322, -73.32837)"
Queens,Pomonok Community Farm Stand,67-09 Kissena Blvd. Flushing,67-09 Kissena Blvd,Flushing,NY,11367,Zani Simmons,7185916060,http://www.facebook.com/QCHFarmersMarket,Wednesday  9am-4pm,July 8-November 19,M,Y,Y,N,Y,40.7353,-73.8146,"(40.7353, -73.8146)"
Erie,Four Corners Farmers' Market,6000 Goodrich Rd Clarence Center,6000 Goodrich Rd,Clarence Center,NY,14032,Deborah Tangelder,7168661100,,Saturday 9am-2pm,June 6-October 17,M,Y,N,N,Y,43.01059,-78.63751,"(43.01059, -78.63751)"
Bronx,170 Farm Stand,1406 Townsend Ave. and 170th St.,1406 Townsend Ave. and 170th Street,Bronx,NY,10452,Theresa Conk,7187168000,http://www.newsettlement.org/170FarmStand,Wed  2:30-6:30pm,August 12-Nov 25,M,Y,Y,N,Y,40.84009,-73.9166,"(40.84009, -73.9166)"
Saratoga,Spa City Farmers' Market,"65 South Broadway Saratoga Spa St Pk, Lincoln Bath House Building",65 South Broadway,Saratoga Springs,NY,12866,Colleen Zorbas,5183390958,http://www.spacityfarmersmarket.com,Sundays  10am-2pm,Year-round,YR,Y,N,N,Y,43.06474,-73.78876,"(43.06474, -73.78876)"
Chautauqua,Westfield Farmers and Artisans Market,Moore Park Rt 20 and Rt 394 Westfield,Rt 20 and Rt 394,Westfield,NY,14787,Kathleen Mayer,7167530367,http://www.westfieldny.com/farmers-market,Saturday  9am-2pm,May 30-September 26,P/M,Y,N,N,Y,42.32203,-79.57812,"(42.32203, -79.57812)"
Jefferson,Cape Street Market,Village Green 357 Broadway St.,357 Gouvello St.,Cape Vincent,NY,13618,Shelley Higgins,3156542481,http://www.capevincent.org,Saturday  11am-5:30pm,June 20-September 19,M,Y,N,N,Y,44.12838,-76.33472,"(44.12838, -76.33472)"
New York,PS 57  GrowNYC Farm Stand,115th St. and 3rd Ave.,115th St. and 3rd Ave,New York,NY,10029,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Wed  9:30am-4pm,July 16-November 26,M,Y,Y,N,Y,40.79727,-73.94051,"(40.79727, -73.94051)"
Chenango,Lamb's Quarters Organic Farm Stand,213 Pierce Rd.  Plymouth,213 Pierce Road,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquartersinc.com,"Daily  12pm-6pm, Closed  Wed & Sat",Year-round,YR,Y,Y,N,Y,42.60058,-75.59991,"(42.60058, -75.59991)"
Westchester,New Rochelle Farmers' Market,"20 Sicard Ave, Thomas Paine Cottage Museum",20 Sicard Ave,New Rochelle,NY,10804,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Friday  9am-2pm,June 12-November 20,M,Y,Y,Y,Y,40.93407,-73.79099,"(40.93407, -73.79099)"
Ontario,Curbside Market-Spa Apartments,11 East Main St. Clifton Springs,11 East Main St.,Clifton Springs,NY,14432,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Tue 1:30pm-2:30pm,July 7-December 15,M/X,Y,Y,N,Y,42.96143,-77.13613,"(42.96143, -77.13613)"
Saratoga,Saratoga Farmers' Market-Saturday,"Wilton Mall (outside Bow-Tie Cinemas), 3065 NY-50",3065 Route 50,Wilton,NY,12866,Emily Meagher,5187083698,http://www.saratogafarmersmarket.com,Saturday  9am-1pm,May 2-October 31,P/M,Y,Y,Y,Y,43.1054,-73.74047,"(43.1054, -73.74047)"
Monroe,The Mall at Greece Ridge Thu Farmers' Market,271 Greece Ridge Center Drive  Rochester,271 Greece Ridge Center Drive,Rochester,NY,14626,Melanie Fazio,5852251140,http://www.themallatgreeceridge.com,Thursday  8am-3pm,June 11-October 29,M,Y,N,N,Y,43.20677,-77.69406,"(43.20677, -77.69406)"
Erie,Clinton Bailey Sun Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Sunday 7am-5pm,May 2-October 31,P/M,N,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Dutchess,Z Farms Farm Stand,355 Poplar Hill Rd.  Dover Plains,355 Poplar Hill Road,Dover Plains,NY,12522,Diana Zlotnikov,9173196414,http://www.zfarmsorganic.com,"Saturday 2pm-5 pm, Sunday 10am-1pm",Year-round,YR,Y,Y,N,Y,41.75631,-73.55278,"(41.75631, -73.55278)"
Herkimer,Exeter Park Produce and Garlic Farm Stand,"147 South Rd.  West Winfield, close to intersection of Route 51",147 South Road,West Winfield,NY,13491,David or Cynthia Ball,3159823589,http://www.exeterparkproduceandgarlic.com,Daily  10am-6pm,May 1 -October 31,M,Y,N,N,Y,42.83092,-75.1367,"(42.83092, -75.1367)"
Bronx,Harvest Home Hunts Point Farmers' Market,"Monsignor Del Valle Park, E. 163 St between Southern & Bruckner Blvds.",925 Hunts Point Ave.,Bronx,NY,10474,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 17 - November 25,M,Y,Y,N,Y,40.82073,-73.89088,"(40.82073, -73.89088)"
Kings,Isabahlia Farm Stand-Livonia Ave,Powell Street Garden 410 Livonia Ave. Brooklyn,410 Livonia Ave,Brooklyn,NY,11212,Brenda Thompson-Duchene,7184983174,http://www.isabahlialoefinc.org,Saturday  8am-3pm,June 30-October 31,M,Y,Y,N,Y,40.66353,-73.90226,"(40.66353, -73.90226)"
New York,57th Street Wednesday Greenmarket,475 W 57th St. @ 58th St.,891 Tenth Ave,New York,NY,10019,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Wednesday 8am-5pm,June 10-November 25,P/M,Y,Y,N,Y,40.7695,-73.98841,"(40.7695, -73.98841)"
Kings,Park Slope Farmers' Market,289 4th Street at 5th Ave.  near PS 51 Brooklyn,289 4th Street,Brooklyn,NY,11215,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Sunday 10am-3pm,May 17-December 20,P/M/X,Y,Y,N,Y,40.6722,-73.98379,"(40.6722, -73.98379)"
Putnam,Cold Spring WINTER Farmers' Market,"St. Mary's Episcopal Church Parish Hall, 1 Chestnut Street Cold Spring",1 Chestnut St,Cold Spring,NY,10516,Colin Wright,9179570695,http://www.csfarmmarket.org,Saturday  9:30am-1:30pm,November 2-April 26,M/X/W/P,N,Y,N,Y,41.419897,-73.954688,"(41.419897, -73.954688)"
Genesee,Genesee Country Tuesday Farmers' Market,Bank St. at Alva Place Batavia,Bank St and Alva Place,Batavia,NY,14020,Sharon Brent,7165600853,,Tuesday 9am-4pm,June 9-October 27,M,Y,Y,N,Y,42.99905,-78.18151,"(42.99905, -78.18151)"
Erie,MAP Mobile Market-Seneca St. CDC,"1218 Seneca St Buffalo, (btwn Babcock & Imson)",1218 Seneca St,Buffalo,NY,14210,Danielle Rovillo,7168825327,http://www.mass-ave.org,Monday 2pm-3pm,August 1-December 31,M/X,Y,Y,N,Y,42.87018,-78.83319,"(42.87018, -78.83319)"
Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.  Fillmore,11137 Wayne Rd.,Fillmore,ny,14735,Terry Wagoner,5856108836,http://www.facebook.com/wagonerbees,"Sat/Sun 12pm-3pm, Mon/Tues/Fri  1pm-5pm, Wed/Thu 5pm-7pm",May 15-October 30,P/M,Y,Y,N,Y,42.48057,-78.09042,"(42.48057, -78.09042)"
Clinton,Rouses Point Farmers' Market,Dodge Memorial Library 144 Lake St.,144 Lake Street,Rouses Point,NY,12979,Jim Rabideau,5182983878,http://www.facebook.com/events/1127448587272536/,Friday  3pm-7pm,June 19-September 4,M,Y,N,N,Y,44.99038,-73.36434,"(44.99038, -73.36434)"
Rensselaer,Veggie Mobile Sprout-Patroons  Dorp Apts,Fowler Ave. & First St. Rensselaer,fowler ave and first street,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3:15pm-4pm,Year-round,YR,Y,Y,Y,Y,42.65482,-73.73432,"(42.65482, -73.73432)"
Lewis,Harrisville Farmers' Market,"the Scenic View lot , State Street  Harrisville",State Street and Main Street,Harrisville,NY,13648,Laura La Platney,3157771689,,Saturday  9am-4pm,May 30-October 31,P/M,Y,N,N,Y,44.14849,-75.31571,"(44.14849, -75.31571)"
Chemung,Wisner Park Farmers' Market,Wisner Park 200 N Main Street Elmira,200 N Main St,Elmira,NY,14901,Kate Boland,6077340341,http://www.wisnermarket.org,Thursday  10am-2pm,May 28-September 24,P/M,Y,Y,N,Y,42.08943,-76.80801,"(42.08943, -76.80801)"
Rensselaer,East Greenbush Farmers' Market,"East Greenbush Library, 10-20 Community Way",10 Community Way,East Greenbush,NY,12061,Shannon Romanowski,5184772570,http://www.eastgreenbushlibrary.org,Wednesday  4pm-7pm,June 10-September 30,M,Y,N,N,Y,42.619,-73.69488,"(42.619, -73.69488)"
New York,Union Square Friday Greenmarket,"31 Union Square W, NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket,Friday  8am-6pm,Year-round,YR,Y,Y,N,Y,40.73701,-73.99025,"(40.73701, -73.99025)"
New York,97th Street Greenmarket,125 W 97th St. btwn Amsterdam & Columbus Aves.,West 97th St and Columbus Ave,New York,NY,10025,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/west-97,Friday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.79356,-73.96701,"(40.79356, -73.96701)"
St. Lawrence,Massena Farmers and Artisans Co-op-Thursday,Tractor Supply 105 Harte Haven Plaza,105 Harte Haven Plaza,Massena,NY,13662,Matt Martin,3158428052,,Thursday 2pm-6pm,July 5-October 23,M,Y,Y,N,Y,44.92199,-74.88432,"(44.92199, -74.88432)"
St. Lawrence,Massena Farmers and Artisans Co-op-Sunday,Tractor Supply 105 Harte Haven Plaza,105 Harte Haven Plaza,Massena,NY,13662,Matt Martin,3158428052,,Sunday 10am-2pm,July 5-October 25,M,Y,Y,N,Y,44.92199,-74.88432,"(44.92199, -74.88432)"
Washington,Braydon's Garden Farm Stand,328 North Main St. Salem,328 North Main St,Salem,NY,12865,Lisa Hunt,5187426647,,Daily 9am-7pm,May 1-November 1,P/M,Y,N,N,Y,43.18091,-73.3259,"(43.18091, -73.3259)"
Schoharie,Schoharie Co. Festival Wed Farmers' Market,"McCarthy Tire Center parking lot, 942 E. Main Rt. 7E Cobleskill",942 East Main St,Cobleskill,NY,12043,Donna Olsen,5182842609,http://www.facebook.com/festivalfarmersmarket/,Wednesday  3pm-5pm,July 15-October 7,M,Y,Y,N,Y,42.68006,-74.46674,"(42.68006, -74.46674)"
Wayne,Sodus Farmers' Market,Sodus Methodist Church 58 W. Main St.,58 West Main St,Sodus,NY,14551,Sandy Hall,3154838029,http://www.sutmc.org/sodus-farmers-market,Wed  2:30pm-6pm,July 8-October 7,M,Y,Y,N,Y,43.23615,-77.06587,"(43.23615, -77.06587)"
Ontario,Curbside Market-80 Parrish St. Apt,80 Parrish Street Canandaigua,80 Parrish Street,Canandaigua,NY,14424,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Tue 11:15am-12:15am,July 7-December 15,M/X,Y,Y,N,Y,42.8789,-77.27981,"(42.8789, -77.27981)"
Monroe,Rochester Public Market -Tuesday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Tuesday  6am-1pm,Year-round,YR,Y,Y,N,Y,43.1657,-77.59016,"(43.1657, -77.59016)"
Dutchess,Poughkeepsie Plenty Fresh Market Farm Stand,29 N Hamilton Street  Family Partnership Center Poughkeepsie,29 N Hamilton Street,Poughkeepsie,NY,12601,Justin Offerman,8454543792,http://www.dutchessoutreach.org,"Tue/Wed/Thu, 11:30p-3:30p",June 1-November 15,M,Y,Y,N,Y,41.70459,-73.92197,"(41.70459, -73.92197)"
Oneida,Kids Farm Market,9282 Kellogg Rd Washington Mills,9282 Kellogg Rd,Washington Mills,NY,13479,Amy Braun,3157377171,https://m.facebook.com/profile.php?id=188960021191060,Daily 9am-6pm,May 1-December 24,P/M,Y,N,N,Y,43.05287,-75.2725,"(43.05287, -75.2725)"
Ulster,Seed Song Farm Stand,160 Esopus Ave Kingston,160 Esopus Ave,Kingston,NY,12401,Creek Iverson,8453831528,http://www.seedsongfarm.org,"Daily 10am-6pm, Winter hours change November",Year-round,YR,Y,N,N,Y,41.9556,-74.0067,"(41.9556, -74.0067)"
Monroe,Curbside Market-Fairport Apartments,1030 Whitney Road E Fairport,1030 Whitney Road E,Fairport,NY,14450,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Thu 11am-12pm,July 9-December 17,M/X,Y,Y,N,Y,43.10913,-77.43938,"(43.10913, -77.43938)"
Allegany,White Valley Farm Stand,381 Heselton Rd. Whitesville,381 Heselton Road,Whitesville,NY,14897,Justin Ellison,5858086061,https://www.facebook.com/whitevalleyfarmNY/,Saturday 12pm-5pm,June 1-November 1,M,Y,N,N,Y,42.01631,-77.84727,"(42.01631, -77.84727)"
Monroe,Curbside Market-Waring Road Plaza,Monroe WIC  250 Waring Rd. Rochester,250 Waring Rd,Rochester,NY,14609,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Wed 11:45am-1pm,July 8-December 16,M/X,Y,Y,N,Y,43.1836,-77.56554,"(43.1836, -77.56554)"
Nassau,New Cassel Farmers' Market,"First Baptist Church parking lot, 212 Garden St. Westbury",212 Garden St,Westbury,NY,11590,Traci Caines,5169840230,http://www.facebook.com/pages/New-Cassel-Farmers-Market/138769932883107,Saturday  11am-3pm,July 11-October 31,M,Y,Y,N,Y,40.7622,-73.56767,"(40.7622, -73.56767)"
Queens,Jamaica Hospital Farm Stand,134-20 Jamaica Ave. Jamaica,134-20 Jamaica Ave.,Jamaica,NY,11418,Javier or Estella Perez,8453810399,,Wednesday 9am-4pm,June 17-November 18,M,Y,N,N,Y,40.7024,-73.81767,"(40.7024, -73.81767)"
Albany,Delmar Tuesday Farmers' Market,"First United Methodist Church Lot, 428 Kenwood Ave.",428 Kenwood Ave,Delmar,NY,12054,Richard Rugen,5188634711,http://www.facebook.com/TuesdayDelmarFarmersMarket/,Tuesday  2:30pm-6pm,May 5-November 24,P/M,N,N,N,Y,42.62298,-73.83623,"(42.62298, -73.83623)"
Dutchess,Beacon WINTER Farmers' Market,413 Main St. Beacon VFW Hall,413 Main Street,Beacon,NY,12508,Paloma Wake,5108514865,http://www.beaconfarmersmarket.org,Sunday  10am-2pm,December 6-April 18,X/W/P,N,Y,N,Y,41.50321,-73.96674,"(41.50321, -73.96674)"
Monroe,North Chili Farmers' Market,Methodist Church  2200 Westside Drive,2200 Westside Dr,North Chili,NY,14514,Roger Dart,5853157754,http://www.umcofnorthchili.org,Saturday  8am-1pm,June 15-October 26,M,Y,N,N,Y,43.12648,-77.78969,"(43.12648, -77.78969)"
New York,Astor Place Greenmarket,149-179 E 8th St New York,149-179 E 8th St,t New York,NY,11218,Siobahn Keys,2127887476,,Tuesday 8am-5pm,August 4  -November 24,M,Y,Y,N,Y,40.64658,-73.97198,"(40.64658, -73.97198)"
Rockland,Haverstraw Farmers' Market,40 New Main St. Haverstraw Village Hall,New Main St and Maple Ave,Haverstraw,NY,10927,Elaine Fernandez,8454290300,https://voh-ny.com/faq/,Sunday  9am-1pm,June 21-October 25,M,Y,N,N,Y,41.19639,-73.96645,"(41.19639, -73.96645)"
Erie,Huntington Farm Stand II,11503 Main Street Clarence,11503 Main Street,Clarence,NY,14031,Dan Huntington,7163930590,,Daily 11am-7pm,June-October,M,Y,N,N,Y,42.98909,-78.55762,"(42.98909, -78.55762)"
Franklin,JCEO MM-Brainardsville 4 Corners,2392 CR 24 at CR 374  Brainardsville,2392 CR 24,Brainardsville,NY,12915,Richard LaVigne,5183194028,http://www.jceo.org,Friday  12:30pm-2:00pm,June 12-November 13,M,Y,Y,N,Y,44.85809,-74.0333,"(44.85809, -74.0333)"
Sullivan,Sullivan Fresh Market on the Move-PHS,"50 Community Lane Liberty, Public Health Services WIC Clinic",50 Community Lane,Liberty,NY,12754,Michelle Proscia,8452926180,,Wednesday 11am-1pm,July1-September 30,M,Y,Y,N,Y,41.79551,-74.71228,"(41.79551, -74.71228)"
Westchester,Ossining Farmers' Market,100 Main Street @ Spring St. Market Square,100 Main Street,Ossining,NY,10562,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Saturday 8:30am-1pm,May 1-December 19,YR,Y,Y,Y,Y,41.16105,-73.86351,"(41.16105, -73.86351)"
Steuben,Bath Saturday Farmers' Market,Pulteney Park Steuben St.,Steuben St and Liberty St,Bath,NY,14810,Phillip Glosick,6077763577,,Saturday  9am-2pm,May 4-October 26,P/M,Y,N,N,Y,42.33353,-77.31842,"(42.33353, -77.31842)"
Cayuga,Auburn Sat Farmers' Co-op Market,96 State Street  Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Sat  7am-2pm,June 6-October 31,M,Y,Y,N,Y,42.93406,-76.56985,"(42.93406, -76.56985)"
Orange,Village of Monroe Farmers' Market,"Park & Ride Commuter Lot , Millpond Parkway",68 Millpond Pkwy,Monroe,NY,10950,Dorey Houle,9175382821,http://www.facebook.com/villageofmonroefarmersmarket,Sunday  9am-2pm,June 7-November 22,M,Y,N,N,Y,41.32983,-74.189196,"(41.32983, -74.189196)"
St. Lawrence,Gouverneur Farmers' Market,East Main Street Park,East Main Street and Village Park,Gouverneur,NY,13642,Donna Besaw,3152870331,http://www.gouverneurchamber.net,Thursday  9am-2pm,June 5-October 29,M,Y,Y,N,Y,44.33871,-75.45766,"(44.33871, -75.45766)"
Orange,Middletown Farmers' Market,Erie Way btwn Montgomery & Cottage Sts.,32-48 Cottage Street,Middletown,NY,10940,Anne Kelly,8453438075,http://www.middletownbid.org,Saturday  8am-1pm,June 6-October 24,M,Y,N,N,Y,41.44814,-74.41459,"(41.44814, -74.41459)"
Westchester,Bowen Farm Stand,14 N Columbus Ave. Mt. Vernon,14 North Columbus Ave.,Mount Vernon,NY,10553,Ruth Crosby,9144821749,,"Wednesday 2pm-6pm, Thu/Fri/Sat  2pm-8pm",July 15-November 30,M,Y,N,N,Y,40.9125,-73.82372,"(40.9125, -73.82372)"
Erie,Alden Farmers' Market,"13119 Broadway (Route 20) , btwn Tractor Supply Lot",13119 Broadway,Alden,NY,14004,Alyssa Cooper,7169376177,http://www.aldenny.org,Saturday  8:30am-1pm,June 6-October 10,M,Y,N,N,Y,42.89784,-78.49904,"(42.89784, -78.49904)"
Chenango,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd.  Plymouth,252 Plymouth-North Norwich Rd.,Plymouth,NY,13832,Kathryn Clemens,6073365834,,"Mon-Fri  8am-6pm, Sat/Sun 1pm-5pm",April 1-November 30,P/M,Y,N,N,Y,42.62427,-75.59152,"(42.62427, -75.59152)"
Albany,Delmar Saturday Farmers' Market,"Bethlehem Middle School (start July 4), 332 Kenwood Avenue",332 Kenwood Avenue,Delmar,NY,12054,Ken Myer,5184871991,http://www.delmarmarket.org,Saturday  9am-1pm,May 16-December 19,P/M,Y,Y,N,Y,42.60116,-73.84,"(42.60116, -73.84)"
Erie,MAP Farm Stand,"387 Massachusetts Ave. Buffalo, between Barton & Shields",389 Massachusetts Ave.,Buffalo,NY,14213,Danielle Rovillo,7168825327,http://www.mass-ave.org,Thursdays  4pm-6pm,Year-round,YR,Y,Y,N,Y,42.9128,-78.88774,"(42.9128, -78.88774)"
New York,Rockefeller Center Fri Greenmarket,Rockefeller Plaza at 50th St.,Rockefeller Plaza and West 50th St,New York,NY,10112,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-5pm,July 17-August 21; Oct 2-October 23,M,Y,Y,N,Y,40.75914,-73.97873,"(40.75914, -73.97873)"
Jefferson,Clayton Chamber of Commerce Farmers' Market,Village Park Circle 425 Mary St.,425 Mary Street,Clayton,NY,13624,Tricia Bannister,3156863771,http://www.1000islands-clayton.com,Thursday  10am-4pm,June 4-September 24,M,Y,N,N,Y,44.23992,-76.08508,"(44.23992, -76.08508)"
Suffolk,Three Village Farmers Market,93 North Country Rd Setauket,93 North Country Rd,Setaucet,NY,11733,Linda Johnson,6319017151,http://www.instagram.com/threevillagemarket/,Friday 3pm-7pm,June 12-October 2,M,Y,N,N,Y,40.93391,-73.11775,"(40.93391, -73.11775)"
Albany,Veggie Mobile-Arbor Hill/Oak Street Park,Oak Street & Second Street Albany,Second Street & Oak Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,YR,Y,Y,Y,Y,42.6629,-73.76094,"(42.6629, -73.76094)"
Albany,Constantine Farm Stand,566 Albany Shaker Rd.  Loudonville,566 Albany Shaker Road,Loudonville,NY,12211,Emily Szesnat,5184588294,http://www.constantinefarms.com,"Sat/Sun 9am-5pm, Mon-Fri 8am-5pm",July 15-October 1,M,Y,N,N,Y,42.71722,-73.78613,"(42.71722, -73.78613)"
Ulster,Kingston YMCA Farm Stand,507 Broadway Kingston,507 Broadway,Kingston,NY,12401,Kaycee Wimbish,8453322927,http://www.kingstonymcafarmproject.org,"Tuesday 10am-12:30pm, Thursday  3:30pm-6pm",June 4-Novenmber 19,M,Y,Y,N,Y,41.92805,-74.0007,"(41.92805, -74.0007)"
Lewis,Lewis Co. General Hospital Farmers' Market,"7785 N. State St.  Lowville, Children's Clinic  parking lot",7785 North State St,Lowville,NY,13367,Tina Schell,3153765087,http://www.lcgh.net,Thursday  11am-4pm,June 11-October 1,M,Y,N,N,Y,43.79599,-75.49832,"(43.79599, -75.49832)"
Tompkins,Dryden Farmers' Market,"Dryden Agway Hardware Store, 59 West Main St.",59 West Main St.,Dryden,NY,13053,Kelly Ritter,6078448663,,Saturday  9am-1pm,June 15-September 26,M,Y,N,N,Y,42.49034,-76.30358,"(42.49034, -76.30358)"
Suffolk,Seps Family Farm Farm Stand,7395 Main Rd East Marion,7395 Main Rd,East Marion,NY,11939,Peter and Kathryn Sepenoski,6314771583,,Thu-Mon 10am-5pm,April-December 19,P/M/X,Y,N,N,Y,41.12365,-72.34486,"(41.12365, -72.34486)"
Saratoga,Petuskes Produce Farm Stand,39 Halfmoon Drive Waterford,39 Halfmoon Drive,Waterford,NY,12188,Michelle Petuske,5183715709,,"Mon-Fri 9am-5:30pm, Sun/Sat 9am-4pm",May 6-September 30,M,Y,Y,N,Y,42.82758,-73.71722,"(42.82758, -73.71722)"
Monroe,Curbside Market-Hudson Ridge Tower,401 Seneca Manor Dr. Rochester,401 Seneca Manor Drive,Rochester,NY,14621,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Wed 3:30pm-5pm,July 8-December 16,M/X,Y,Y,N,Y,43.19309,-77.60324,"(43.19309, -77.60324)"
Richmond,Staten Island Mall Greenmarket,77 Marsh Ave. and Ring Rd. Commuter Lot,2655 Richmond Ave,Staten Island,NY,10314,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.58199,-74.16607,"(40.58199, -74.16607)"
Rensselaer,Veggie Mobile-Van Rensselaer Heights,460 Forbes Ave. Rensselaer,460 Forbes Avenue,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 10:45am-11:15am,Year-round,YR,Y,Y,Y,Y,42.65953,-73.73008,"(42.65953, -73.73008)"
