,Market Name,Address Line 1,City,Zip,Contact,State,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude
10,Veggie Mobile-Koinonia Primary Care,553 Clinton Avenue,Albany,12206.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.665079999999996,-73.76804
11,Germantown Farmers Market,50 Palatine Park Road,Germantown,12526.0,Lauren Williams,NY,5185675691,http://www.facebook.com/germantownfarmersmarketny,Saturday 10am-1pm,May 23-September 26,P/M,Y,N,N,Y,42.135,-73.88551
12,Salem Rt. 22 Farmers' Market,Route 22 and Railroad St.,Salem,12865.0,Cyd Groff,NY,5186421653,http://www.facebook.com/pages/Route-22-Farmers-Market-Salem-Granville-Whitehall/104950399561700,Saturday  10am-1pm,June 13-October 17,M,Y,N,N,Y,43.17322,-73.32836999999999
13,Pomonok Community Farm Stand,67-09 Kissena Blvd,Flushing,11367.0,Zani Simmons,NY,7185916060,http://www.facebook.com/QCHFarmersMarket,Wednesday  9am-4pm,July 8-November 19,M,Y,Y,N,Y,40.7353,-73.8146
14,Four Corners Farmers' Market,6000 Goodrich Rd,Clarence Center,14032.0,Deborah Tangelder,NY,7168661100,,Saturday 9am-2pm,June 6-October 17,M,Y,N,N,Y,43.01059,-78.63750999999999
15,170 Farm Stand,1406 Townsend Ave. and 170th Street,Bronx,10452.0,Theresa Conk,NY,7187168000,http://www.newsettlement.org/170FarmStand,Wed  2:30-6:30pm,August 12-Nov 25,M,Y,Y,N,Y,40.840090000000004,-73.9166
16,Spa City Farmers' Market,65 South Broadway,Saratoga Springs,12866.0,Colleen Zorbas,NY,5183390958,http://www.spacityfarmersmarket.com,Sundays  10am-2pm,Year-round,YR,Y,N,N,Y,43.06474,-73.78876
17,Westfield Farmers and Artisans Market,Rt 20 and Rt 394,Westfield,14787.0,Kathleen Mayer,NY,7167530367,http://www.westfieldny.com/farmers-market,Saturday  9am-2pm,May 30-September 26,P/M,Y,N,N,Y,42.32203,-79.57812
18,Cape Street Market,357 Gouvello St.,Cape Vincent,13618.0,Shelley Higgins,NY,3156542481,http://www.capevincent.org,Saturday  11am-5:30pm,June 20-September 19,M,Y,N,N,Y,44.12838,-76.33471999999999
19,PS 57  GrowNYC Farm Stand,115th St. and 3rd Ave,New York,10029.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/farmstands,Wed  9:30am-4pm,July 16-November 26,M,Y,Y,N,Y,40.797270000000005,-73.94051
20,Lamb's Quarters Organic Farm Stand,213 Pierce Road,Plymouth,13832.0,Sandy Pierce,NY,6073344928,http://www.lambsquartersinc.com,"Daily  12pm-6pm, Closed  Wed & Sat",Year-round,YR,Y,Y,N,Y,42.60058,-75.59991
21,New Rochelle Farmers' Market,20 Sicard Ave,New Rochelle,10804.0,Miriam Haas,NY,9149234837,http://www.downtoearthmarkets.com,Friday  9am-2pm,June 12-November 20,M,Y,Y,Y,Y,40.93407,-73.79099000000001
22,Curbside Market-Spa Apartments,11 East Main St.,Clifton Springs,14432.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Tue 1:30pm-2:30pm,July 7-December 15,M/X,Y,Y,N,Y,42.96143,-77.13613000000001
23,Saratoga Farmers' Market-Saturday,3065 Route 50,Wilton,12866.0,Emily Meagher,NY,5187083698,http://www.saratogafarmersmarket.com,Saturday  9am-1pm,May 2-October 31,P/M,Y,Y,Y,Y,43.1054,-73.74047
24,The Mall at Greece Ridge Thu Farmers' Market,271 Greece Ridge Center Drive,Rochester,14626.0,Melanie Fazio,NY,5852251140,http://www.themallatgreeceridge.com,Thursday  8am-3pm,June 11-October 29,M,Y,N,N,Y,43.20677,-77.69406
25,Clinton Bailey Sun Farmers' Market,Bailey Ave and Clinton St,Buffalo,14206.0,Sharon Baldi,NY,7162080003,http://www.clintonbaileymarket.com,Sunday 7am-5pm,May 2-October 31,P/M,N,Y,N,Y,42.87206,-78.81997
26,Z Farms Farm Stand,355 Poplar Hill Road,Dover Plains,12522.0,Diana Zlotnikov,NY,9173196414,http://www.zfarmsorganic.com,"Saturday 2pm-5 pm, Sunday 10am-1pm",Year-round,YR,Y,Y,N,Y,41.75631,-73.55278
27,Exeter Park Produce and Garlic Farm Stand,147 South Road,West Winfield,13491.0,David or Cynthia Ball,NY,3159823589,http://www.exeterparkproduceandgarlic.com,Daily  10am-6pm,May 1 -October 31,M,Y,N,N,Y,42.83092,-75.1367
28,Harvest Home Hunts Point Farmers' Market,925 Hunts Point Ave.,Bronx,10474.0,Maritza Owens,NY,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 17 - November 25,M,Y,Y,N,Y,40.82073,-73.89088000000001
29,Isabahlia Farm Stand-Livonia Ave,410 Livonia Ave,Brooklyn,11212.0,Brenda Thompson-Duchene,NY,7184983174,http://www.isabahlialoefinc.org,Saturday  8am-3pm,June 30-October 31,M,Y,Y,N,Y,40.66353,-73.90226
30,57th Street Wednesday Greenmarket,891 Tenth Ave,New York,10019.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Wednesday 8am-5pm,June 10-November 25,P/M,Y,Y,N,Y,40.7695,-73.98841
31,Park Slope Farmers' Market,289 4th Street,Brooklyn,11215.0,Miriam Haas,NY,9149234837,http://www.downtoearthmarkets.com,Sunday 10am-3pm,May 17-December 20,P/M/X,Y,Y,N,Y,40.6722,-73.98379
32,Cold Spring WINTER Farmers' Market,1 Chestnut St,Cold Spring,10516.0,Colin Wright,NY,9179570695,http://www.csfarmmarket.org,Saturday  9:30am-1:30pm,November 2-April 26,M/X/W/P,N,Y,N,Y,41.419897,-73.954688
33,Genesee Country Tuesday Farmers' Market,Bank St and Alva Place,Batavia,14020.0,Sharon Brent,NY,7165600853,,Tuesday 9am-4pm,June 9-October 27,M,Y,Y,N,Y,42.99905,-78.18151
34,MAP Mobile Market-Seneca St. CDC,1218 Seneca St,Buffalo,14210.0,Danielle Rovillo,NY,7168825327,http://www.mass-ave.org,Monday 2pm-3pm,August 1-December 31,M/X,Y,Y,N,Y,42.87018,-78.83319
35,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.,Fillmore,14735.0,Terry Wagoner,ny,5856108836,http://www.facebook.com/wagonerbees,"Sat/Sun 12pm-3pm, Mon/Tues/Fri  1pm-5pm, Wed/Thu 5pm-7pm",May 15-October 30,P/M,Y,Y,N,Y,42.48057,-78.09042
36,Rouses Point Farmers' Market,144 Lake Street,Rouses Point,12979.0,Jim Rabideau,NY,5182983878,http://www.facebook.com/events/1127448587272536/,Friday  3pm-7pm,June 19-September 4,M,Y,N,N,Y,44.99038,-73.36434
37,Veggie Mobile Sprout-Patroons  Dorp Apts,fowler ave and first street,Rensselaer,12144.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Tue 3:15pm-4pm,Year-round,YR,Y,Y,Y,Y,42.65482,-73.73432
38,Harrisville Farmers' Market,State Street and Main Street,Harrisville,13648.0,Laura La Platney,NY,3157771689,,Saturday  9am-4pm,May 30-October 31,P/M,Y,N,N,Y,44.14849,-75.31571
39,Wisner Park Farmers' Market,200 N Main St,Elmira,14901.0,Kate Boland,NY,6077340341,http://www.wisnermarket.org,Thursday  10am-2pm,May 28-September 24,P/M,Y,Y,N,Y,42.08943,-76.80801
40,East Greenbush Farmers' Market,10 Community Way,East Greenbush,12061.0,Shannon Romanowski,NY,5184772570,http://www.eastgreenbushlibrary.org,Wednesday  4pm-7pm,June 10-September 30,M,Y,N,N,Y,42.619,-73.69488
41,Union Square Friday Greenmarket,Broadway and East 17th St,New York,10003.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/greenmarket,Friday  8am-6pm,Year-round,YR,Y,Y,N,Y,40.73701,-73.99025
42,97th Street Greenmarket,West 97th St and Columbus Ave,New York,10025.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket/manhattan/west-97,Friday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.79356,-73.96701
43,Massena Farmers and Artisans Co-op-Thursday,105 Harte Haven Plaza,Massena,13662.0,Matt Martin,NY,3158428052,,Thursday 2pm-6pm,July 5-October 23,M,Y,Y,N,Y,44.92199,-74.88432
44,Massena Farmers and Artisans Co-op-Sunday,105 Harte Haven Plaza,Massena,13662.0,Matt Martin,NY,3158428052,,Sunday 10am-2pm,July 5-October 25,M,Y,Y,N,Y,44.92199,-74.88432
45,Braydon's Garden Farm Stand,328 North Main St,Salem,12865.0,Lisa Hunt,NY,5187426647,,Daily 9am-7pm,May 1-November 1,P/M,Y,N,N,Y,43.18091,-73.3259
46,Schoharie Co. Festival Wed Farmers' Market,942 East Main St,Cobleskill,12043.0,Donna Olsen,NY,5182842609,http://www.facebook.com/festivalfarmersmarket/,Wednesday  3pm-5pm,July 15-October 7,M,Y,Y,N,Y,42.68006,-74.46674
47,Sodus Farmers' Market,58 West Main St,Sodus,14551.0,Sandy Hall,NY,3154838029,http://www.sutmc.org/sodus-farmers-market,Wed  2:30pm-6pm,July 8-October 7,M,Y,Y,N,Y,43.23615,-77.06586999999999
48,Curbside Market-80 Parrish St. Apt,80 Parrish Street,Canandaigua,14424.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Tue 11:15am-12:15am,July 7-December 15,M/X,Y,Y,N,Y,42.8789,-77.27981
49,Rochester Public Market -Tuesday,280 North Union St.,Rochester,14609.0,Cindy De Coste,NY,5854286907,http://www.cityofrochester.gov/publicmarket,Tuesday  6am-1pm,Year-round,YR,Y,Y,N,Y,43.1657,-77.59016
50,Poughkeepsie Plenty Fresh Market Farm Stand,29 N Hamilton Street,Poughkeepsie,12601.0,Justin Offerman,NY,8454543792,http://www.dutchessoutreach.org,"Tue/Wed/Thu, 11:30p-3:30p",June 1-November 15,M,Y,Y,N,Y,41.70459,-73.92197
51,Kids Farm Market,9282 Kellogg Rd,Washington Mills,13479.0,Amy Braun,NY,3157377171,https://m.facebook.com/profile.php?id=188960021191060,Daily 9am-6pm,May 1-December 24,P/M,Y,N,N,Y,43.05287,-75.2725
52,Seed Song Farm Stand,160 Esopus Ave,Kingston,12401.0,Creek Iverson,NY,8453831528,http://www.seedsongfarm.org,"Daily 10am-6pm, Winter hours change November",Year-round,YR,Y,N,N,Y,41.9556,-74.0067
53,Curbside Market-Fairport Apartments,1030 Whitney Road E,Fairport,14450.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Thu 11am-12pm,July 9-December 17,M/X,Y,Y,N,Y,43.10913,-77.43938
54,White Valley Farm Stand,381 Heselton Road,Whitesville,14897.0,Justin Ellison,NY,5858086061,https://www.facebook.com/whitevalleyfarmNY/,Saturday 12pm-5pm,June 1-November 1,M,Y,N,N,Y,42.01631,-77.84727
55,Curbside Market-Waring Road Plaza,250 Waring Rd,Rochester,14609.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Wed 11:45am-1pm,July 8-December 16,M/X,Y,Y,N,Y,43.1836,-77.56554
56,New Cassel Farmers' Market,212 Garden St,Westbury,11590.0,Traci Caines,NY,5169840230,http://www.facebook.com/pages/New-Cassel-Farmers-Market/138769932883107,Saturday  11am-3pm,July 11-October 31,M,Y,Y,N,Y,40.7622,-73.56766999999999
57,Jamaica Hospital Farm Stand,134-20 Jamaica Ave.,Jamaica,11418.0,Javier or Estella Perez,NY,8453810399,,Wednesday 9am-4pm,June 17-November 18,M,Y,N,N,Y,40.7024,-73.81766999999999
58,Delmar Tuesday Farmers' Market,428 Kenwood Ave,Delmar,12054.0,Richard Rugen,NY,5188634711,http://www.facebook.com/TuesdayDelmarFarmersMarket/,Tuesday  2:30pm-6pm,May 5-November 24,P/M,N,N,N,Y,42.62298,-73.83623
59,Beacon WINTER Farmers' Market,413 Main Street,Beacon,12508.0,Paloma Wake,NY,5108514865,http://www.beaconfarmersmarket.org,Sunday  10am-2pm,December 6-April 18,X/W/P,N,Y,N,Y,41.503209999999996,-73.96674
60,North Chili Farmers' Market,2200 Westside Dr,North Chili,14514.0,Roger Dart,NY,5853157754,http://www.umcofnorthchili.org,Saturday  8am-1pm,June 15-October 26,M,Y,N,N,Y,43.12648,-77.78969000000001
61,Astor Place Greenmarket,149-179 E 8th St,t New York,11218.0,Siobahn Keys,NY,2127887476,,Tuesday 8am-5pm,August 4  -November 24,M,Y,Y,N,Y,40.64658,-73.97198
62,Haverstraw Farmers' Market,New Main St and Maple Ave,Haverstraw,10927.0,Elaine Fernandez,NY,8454290300,https://voh-ny.com/faq/,Sunday  9am-1pm,June 21-October 25,M,Y,N,N,Y,41.19639,-73.96645
63,Huntington Farm Stand II,11503 Main Street,Clarence,14031.0,Dan Huntington,NY,7163930590,,Daily 11am-7pm,June-October,M,Y,N,N,Y,42.989090000000004,-78.55762
64,JCEO MM-Brainardsville 4 Corners,2392 CR 24,Brainardsville,12915.0,Richard LaVigne,NY,5183194028,http://www.jceo.org,Friday  12:30pm-2:00pm,June 12-November 13,M,Y,Y,N,Y,44.858090000000004,-74.0333
65,Sullivan Fresh Market on the Move-PHS,50 Community Lane,Liberty,12754.0,Michelle Proscia,NY,8452926180,,Wednesday 11am-1pm,July1-September 30,M,Y,Y,N,Y,41.79551,-74.71228
66,Ossining Farmers' Market,100 Main Street,Ossining,10562.0,Miriam Haas,NY,9149234837,http://www.downtoearthmarkets.com,Saturday 8:30am-1pm,May 1-December 19,YR,Y,Y,Y,Y,41.16105,-73.86350999999999
67,Bath Saturday Farmers' Market,Steuben St and Liberty St,Bath,14810.0,Phillip Glosick,NY,6077763577,,Saturday  9am-2pm,May 4-October 26,P/M,Y,N,N,Y,42.333529999999996,-77.31841999999999
68,Auburn Sat Farmers' Co-op Market,96 State Street,Auburn,13021.0,Mark Soper,NY,3157048609,http://www.auburnfarmerscoopmarketinc.com,Sat  7am-2pm,June 6-October 31,M,Y,Y,N,Y,42.934059999999995,-76.56985
69,Village of Monroe Farmers' Market,68 Millpond Pkwy,Monroe,10950.0,Dorey Houle,NY,9175382821,http://www.facebook.com/villageofmonroefarmersmarket,Sunday  9am-2pm,June 7-November 22,M,Y,N,N,Y,41.32983,-74.189196
70,Gouverneur Farmers' Market,East Main Street and Village Park,Gouverneur,13642.0,Donna Besaw,NY,3152870331,http://www.gouverneurchamber.net,Thursday  9am-2pm,June 5-October 29,M,Y,Y,N,Y,44.33871,-75.45766
71,Middletown Farmers' Market,32-48 Cottage Street,Middletown,10940.0,Anne Kelly,NY,8453438075,http://www.middletownbid.org,Saturday  8am-1pm,June 6-October 24,M,Y,N,N,Y,41.44814,-74.41459
72,Bowen Farm Stand,14 North Columbus Ave.,Mount Vernon,10553.0,Ruth Crosby,NY,9144821749,,"Wednesday 2pm-6pm, Thu/Fri/Sat  2pm-8pm",July 15-November 30,M,Y,N,N,Y,40.9125,-73.82372
73,Alden Farmers' Market,13119 Broadway,Alden,14004.0,Alyssa Cooper,NY,7169376177,http://www.aldenny.org,Saturday  8:30am-1pm,June 6-October 10,M,Y,N,N,Y,42.89784,-78.49904000000001
74,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd.,Plymouth,13832.0,Kathryn Clemens,NY,6073365834,,"Mon-Fri  8am-6pm, Sat/Sun 1pm-5pm",April 1-November 30,P/M,Y,N,N,Y,42.62427,-75.59151999999999
75,Delmar Saturday Farmers' Market,332 Kenwood Avenue,Delmar,12054.0,Ken Myer,NY,5184871991,http://www.delmarmarket.org,Saturday  9am-1pm,May 16-December 19,P/M,Y,Y,N,Y,42.60116,-73.84
76,MAP Farm Stand,389 Massachusetts Ave.,Buffalo,14213.0,Danielle Rovillo,NY,7168825327,http://www.mass-ave.org,Thursdays  4pm-6pm,Year-round,YR,Y,Y,N,Y,42.9128,-78.88774000000001
77,Rockefeller Center Fri Greenmarket,Rockefeller Plaza and West 50th St,New York,10112.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-5pm,July 17-August 21; Oct 2-October 23,M,Y,Y,N,Y,40.75914,-73.97873
78,Clayton Chamber of Commerce Farmers' Market,425 Mary Street,Clayton,13624.0,Tricia Bannister,NY,3156863771,http://www.1000islands-clayton.com,Thursday  10am-4pm,June 4-September 24,M,Y,N,N,Y,44.23992,-76.08508
79,Three Village Farmers Market,93 North Country Rd,Setaucet,11733.0,Linda Johnson,NY,6319017151,http://www.instagram.com/threevillagemarket/,Friday 3pm-7pm,June 12-October 2,M,Y,N,N,Y,40.93391,-73.11775
80,Veggie Mobile-Arbor Hill/Oak Street Park,Second Street & Oak Street,Albany,12210.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,YR,Y,Y,Y,Y,42.6629,-73.76094
81,Constantine Farm Stand,566 Albany Shaker Road,Loudonville,12211.0,Emily Szesnat,NY,5184588294,http://www.constantinefarms.com,"Sat/Sun 9am-5pm, Mon-Fri 8am-5pm",July 15-October 1,M,Y,N,N,Y,42.717220000000005,-73.78613
82,Kingston YMCA Farm Stand,507 Broadway,Kingston,12401.0,Kaycee Wimbish,NY,8453322927,http://www.kingstonymcafarmproject.org,"Tuesday 10am-12:30pm, Thursday  3:30pm-6pm",June 4-Novenmber 19,M,Y,Y,N,Y,41.92805,-74.0007
83,Lewis Co. General Hospital Farmers' Market,7785 North State St,Lowville,13367.0,Tina Schell,NY,3153765087,http://www.lcgh.net,Thursday  11am-4pm,June 11-October 1,M,Y,N,N,Y,43.79599,-75.49831999999999
84,Dryden Farmers' Market,59 West Main St.,Dryden,13053.0,Kelly Ritter,NY,6078448663,,Saturday  9am-1pm,June 15-September 26,M,Y,N,N,Y,42.49034,-76.30358000000001
85,Seps Family Farm Farm Stand,7395 Main Rd,East Marion,11939.0,Peter and Kathryn Sepenoski,NY,6314771583,,Thu-Mon 10am-5pm,April-December 19,P/M/X,Y,N,N,Y,41.12365,-72.34486
86,Petuskes Produce Farm Stand,39 Halfmoon Drive,Waterford,12188.0,Michelle Petuske,NY,5183715709,,"Mon-Fri 9am-5:30pm, Sun/Sat 9am-4pm",May 6-September 30,M,Y,Y,N,Y,42.82758,-73.71722
87,Curbside Market-Hudson Ridge Tower,401 Seneca Manor Drive,Rochester,14621.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Wed 3:30pm-5pm,July 8-December 16,M/X,Y,Y,N,Y,43.193090000000005,-77.60324
88,Staten Island Mall Greenmarket,2655 Richmond Ave,Staten Island,10314.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.581990000000005,-74.16606999999999
89,Veggie Mobile-Van Rensselaer Heights,460 Forbes Avenue,Rensselaer,12144.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Thu 10:45am-11:15am,Year-round,YR,Y,Y,Y,Y,42.65953,-73.73008
90,Dobler Farm Stand-Dix Hills,1145 Carlls Straight Path,Dix Hills,11746.0,Erika Dobler,NY,5169651568,http://www.doblerfarms.com,Daily  10am-5pm,July 1-October 20,M,Y,N,N,Y,40.79075,-73.32035
91,Andrews Family Farm Farm Stand,1038 Sound Ave,Calverton,11933.0,Robert Andrews,NY,6319295963,,Daily 9am-6pm,April 25-November 25,P/M,Y,N,N,Y,40.94993,-72.80243
92,Northern Orchard Farm Stand,470 Union Road,Peru,12972.0,Jenna Mulbury,NY,5186439718,http://www.northernorchard.com,"Daily  10am-5pm, Closed Tuesday",May 10-December 23,P/M/X,Y,Y,N,Y,44.5569,-73.53324
93,Bethel Hobbs Community Farm Stand,178 Oxhead Road,Centereach,11720.0,Ann Pellegrino,NY,6317741556,http://www.hobbsfarm.info,Saturday  10am-2pm,May 30-October 10,P/M,Y,N,N,Y,40.872,-73.09635
94,Catskill Cattle Farm Stand,96 Laurel Bank Ave,Deposit,13754.0,Lonny Schaefer,NY,6074675762,http://www.catskillcattle.com,"Mon-Sat  9am-6pm, Sunday 12pm-4pm, Winter:  hours change",Year-round,YR,Y,N,N,Y,42.06673,-75.40725
95,Veggie Mobile Sprout-Church of the Redeemer,1249 3rd Street,Rensselaer,12144.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Thu 3pm-3:45pm,Year-round,YR,Y,Y,Y,Y,42.65038,-73.73443
96,Hastings WINTER Farmers' Market,134 Southside Ave,Hastings on Huds,10706.0,Pascale Le Draoulec,NY,9148063380,http://www.hastingsfarmersmarket.org,Saturday 830am-130pm,Dec 7-May 23,X/W/P,N,Y,N,Y,40.9943,-73.88424
97,Niagara Falls City Wednesday Market,1800-1808 Pine Ave,Niagara Falls,14301.0,Victor Muto,NY,7167540798,http://www.local-farmers-markets.com/market/3569/niagara-falls/niagara-falls-city-market,Wednesday  9am-3pm,Year-round,YR,Y,N,N,Y,43.09513,-79.03971999999999
98,JCEO MM-Owls Head,197 ounty Route27,Owls Head,12969.0,Richard LaVigne,NY,5183194028,http://www.jceo.org,Wed  12:30pm-2:00pm,June 10-October 14,M,Y,Y,N,Y,44.69206,-74.11341
99,Curbside Market-Ellison Park Apts,4 Bobrich Drive,Rochester,14610.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Thu 4:15pm-5:15pm,July 9-December 17,M/X,Y,Y,N,Y,43.14804,-77.54569000000001
100,Fordham Plaza Greenmarket,1 Fordham Plaza,Bronx,10458.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-4pm,July 10-November 20,M,Y,Y,N,Y,40.86002,-73.89106
101,Healthy Orange Farmers' Market,131 Broadway,Newburgh,12550.0,Meg Oakes,NY,8453606691,http://www.healthyorange.com/,Tuesday  10am-2pm,July 7-October 13,M,Y,Y,N,Y,41.50009,-74.01254
102,Panek's Pickin' Patch,13420 W County House Rd.,Albion,14411.0,Guinevere Panek,NY,5855896155,http://www.panekspickinpatch.com,Daily  9am-5pm,June 1-October 31,M,Y,N,N,Y,43.21866,-78.2551
103,Brightly's Farm Market,525 Drake Rd.,Hamlin,14464.0,Betsy Brightly,NY,5856364337,http://www.brightlyfarms.com,"Daily 9am-5pm, delivery options",Year-round,YR,Y,N,N,Y,43.294709999999995,-77.94344
104,Cambridge Valley Farmers' Market,4 Broad Street,Cambridge,12816.0,Lindsay Fisk,NY,5185389467,http://www.cambridgevalleyfarmersmarket.com,Sunday  10am-2pm,May 24-October 25,P/M,Y,N,N,Y,43.02833,-73.38093
105,Grass Roots Farmers' Market,West 145th St and Edgecombe Ave,New York,10030.0,Gabrielle Girigorie,NY,2122522113,,Sat/Tue  9am-4pm,July 7-November 28,M,Y,Y,N,Y,40.82365,-73.94385
106,Babylon Village Farmers' Market,51 Railroad Avenue,Babylon,11702.0,Lona Graepel,NY,6319442661,http://www.longislandfarmersmarkets.com,Sunday  8am-12:30pm,June 7-November 22,M,Y,N,N,Y,40.69992,-73.3245
107,Enough...and a Little Bit More Farm Stand,4776 State Highway 41,Greene,13778.0,Jim Girton,NY,6076567242,http://www.enoughandalittlebitmore.com,"Mon-Fri  11am-6pm, Sat/Sun  3pm-7pm",May 1-October 31,P/M,Y,N,N,Y,42.37041,-75.78369
108,Pray's Family Farm Stand-Keesville,391 Route 9N,Keeseville,12944.0,Darcy Pray,NY,5188347437,http://www.praysmarket.com,Daily 9am-6pm,May 1-Occtober 31,P/M,Y,N,N,Y,44.49367,-73.50798
109,Richfield Springs Area Sat Farmers' Market,Main St and Church St,Richfield Springs,13439.0,Ronald Bayzon,NY,3158582703,,Saturday  8am-1pm,June 20-October 31,M,Y,N,N,Y,42.853590000000004,-74.98476
110,Curbside Market-Phillips Village,100 Krieger Rd.,Webster,14580.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Sat 11am-12:15pm,July 11-December 19,M/X,Y,Y,N,Y,43.20943,-77.4189
111,Dave's Produce Farm Stand,6719 State Route 415 South,Bath,14810.0,David Hyer,NY,6077947043,,"Sunday 10am-5pm, Mon-Sat 9am-6pm, Nov-Dec: 10am-5pm",April 19-December 24,P/M/X,Y,N,N,Y,42.325829999999996,-77.29073000000001
112,Tribeca Greenmarket Wednesday,Greenwich St and Chambers St,New York,10023.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Wednesday  8am-3pm,Year-Round,YR,Y,Y,N,Y,40.71629,-74.01095
113,Oxford WINTER Farmers' Market,34 Main St.,Oxford,13830.0,Mina Takahashi,NY,6072266843,https://www.facebook.com/OxfordNYFarmersMarket,1st Saturday  10am-1pm,November-April,M/X/W/P,N,N,N,Y,42.440234000000004,-75.594121
114,JCEO MM-Elm St. Housing,215 Elm St,Malone,12953.0,Richard LaVigne,NY,5183194028,http://www.jceo.org,Thursday 11:30am-12:45pm,June 11-October 15,M,Y,Y,N,Y,44.85535,-74.28165
115,MAP Mobile Market-Jericho Rd Broadway,1021 Broadway,Buffalo,14212.0,Danielle Rovillo,NY,7168825327,http://www.mass-ave.org,Friday 2pm-4pm,August 1-December 31,M/X,Y,Y,N,Y,42.89347,-78.83678
116,Veggie Mobile-Father Leo Obrien,3151 Marra Lane,Schenectady,12303.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Mon 1pm-1:45pm,Year-round,YR,Y,Y,Y,Y,42.76062,-73.94004
